,employers,management,fertility rate,intentional homicides,labor force,literacy rate,poverty gap,parliment seats,unpaid domestic,gender parity index,primary enrollment,teenage mothers,married by 18,clusters
857,3.20000004768372,30.7,1.847,8.634087377,69.8430023193359,78.51,15.12,12.1951219512195,17.85,0.96,85.48546,19.14,27.76,2
858,3.03999996185303,30.7,1.828,5.3382587668,69.7289962768555,78.51,15.12,13.1578947368421,17.85,0.96,79.82857,19.14,27.76,2
859,2.89000010490417,30.7,1.81,2.35,69.6849975585938,78.51,15.12,13.1578947368421,17.85,0.96,74.58828,19.14,27.76,2
860,2.78999996185303,30.7,1.794,5.7647459581,69.7890014648438,78.51,15.12,13.1578947368421,17.85,0.96,75.76249,19.14,27.76,2
861,2.72000002861023,30.7,1.782,8.3077178699,69.8600006103516,78.51,15.12,13.1578947368421,17.85,0.96,79.61804,19.14,27.76,2
862,2.60999989509583,30.7,1.771,3.5999712002,69.9160003662109,78.51,15.12,13.1578947368421,17.85,0.96,76.43089,19.14,27.76,2
863,2.58999991416931,30.7,1.762,3.0555343366,69.8990020751953,78.51,15.12,12.8205128205128,17.85,0.96,83.68,19.14,27.76,2
864,2.60999989509583,30.7,1.752,2.35,69.9729995727539,78.51,15.12,12.8205128205128,17.85,0.96,75.13181,19.14,27.76,2
865,2.57999992370605,30.7,1.743,2.35,70.0619964599609,78.51,15.12,12.8205128205128,17.85,0.96,83.68,19.14,27.76,2
866,1.74,30.7,1.733,2.35,63.2319984436035,78.51,15.12,12.8205128205128,17.85,0.96,83.68,19.14,27.76,2
867,1.74,30.7,3.12,2.35,65.6269989013672,78.51,15.12,17.9487179487179,17.85,0.96,83.68,19.14,27.76,2
898,1.74,30.7,3.732,2.35,29.6450004577637,78.51,15.12,17.46,17.85,1.03289997577667,83.68,19.14,27.76,0
899,0.620000004768372,30.7,3.599,2.35,29.2919998168945,76.9323196411133,15.12,17.46,17.85,1.01270997524261,83.68,19.14,27.76,0
900,0.670000016689301,30.7,3.471,2.35,29.7080001831055,78.51,15.12,17.46,17.85,1.01233994960785,97.96123,19.14,27.76,0
901,0.740000009536743,30.7,3.352,2.35,30.3819999694824,78.51,15.12,17.46,17.85,1.01986002922058,98.80626,19.14,27.76,0
902,0.800000011920929,30.7,3.244,2.35,31.0690002441406,78.51,15.12,17.46,17.85,1.02147996425629,99.01581,19.14,27.76,0
903,0.879999995231628,30.7,3.147,2.35,31.6849994659424,78.51,15.12,17.46,17.85,1.01041996479034,99.9328,19.14,27.76,0
904,0.959999978542328,30.7,3.062,2.35,32.4539985656738,78.51,15.12,17.46,17.85,0.995109975337982,83.68,19.14,27.76,0
905,1.03999996185303,30.7,2.987,2.35,33.148998260498,78.51,15.12,17.46,17.85,0.982630014419556,83.68,19.14,27.76,0
906,1.10000002384186,30.7,2.919,2.35,33.7760009765625,78.51,15.12,17.46,17.85,0.988470017910004,83.68,19.14,27.76,0
907,1.21000003814697,30.7,2.856,2.35,34.4440002441406,78.51,15.12,17.46,17.85,0.992269992828369,83.68,19.14,27.76,0
908,1.3400000333786,30.7,2.795,2.35,35.1110000610352,78.51,15.12,17.46,17.85,1.01558005809784,83.68,19.14,27.76,0
909,1.44000005722046,30.7,2.731,2.35,35.4059982299805,83.5574188232422,15.12,17.46,17.85,1.03849995136261,95.6837,19.14,27.76,0
910,0.660000026226044,30.7,2.663,2.35,36.2820014953613,78.51,15.12,17.46,17.85,1.02418994903564,95.05905,19.14,27.76,0
911,0.639999985694885,30.7,2.59,2.35,37.1500015258789,78.51,15.12,0.0,17.85,1.03138995170593,94.70552,19.14,27.76,1
912,0.699999988079071,30.7,2.514,2.35,38.0190010070801,78.51,15.12,0.0,17.85,1.03623998165131,93.73391,19.14,27.76,1
913,0.620000004768372,30.7,2.436,2.35,38.8959999084473,78.51,15.12,0.0,17.85,1.03588998317719,91.15046,19.14,27.76,1
914,0.629999995231628,30.7,2.363,2.35,39.7560005187988,78.51,15.12,2.5,17.85,1.05136001110077,93.4615,19.14,27.76,1
915,0.600000023841858,30.7,2.297,2.35,40.6419982910156,78.51,15.12,2.5,17.85,0.96,83.68,19.14,27.76,1
916,0.620000004768372,30.7,2.241,2.35,41.5730018615723,78.51,15.12,2.5,17.85,0.96,83.68,19.14,27.76,1
917,0.639999985694885,30.7,2.197,2.35,42.5670013427734,78.51,15.12,2.5,17.85,0.96,83.68,19.14,27.76,1
918,2.1800000667572,30.7,2.164,2.35,43.6230010986328,89.0104370117188,15.12,2.5,17.85,0.96,83.68,19.14,27.76,1
919,2.23000001907349,30.7,2.139,2.35,42.5040016174316,78.51,15.12,10.0,17.85,1.01778995990753,91.16974,19.14,27.76,1
920,2.22000002861023,30.7,2.118,2.35,42.8089981079102,78.51,15.12,10.0,17.85,1.00891995429993,91.84122,19.14,27.76,1
921,2.23000001907349,30.7,2.098,2.35,43.1209983825684,78.51,15.12,10.0,17.85,1.01669001579285,92.73228,19.14,27.76,1
922,2.22000002861023,30.7,2.078,2.35,43.3860015869141,78.51,15.12,7.5,17.85,1.01229000091553,94.69685,19.14,27.76,1
923,2.22000002861023,30.7,2.056,2.35,43.5750007629395,78.51,15.12,7.5,17.85,1.00990998744965,96.75294,19.14,27.76,1
924,2.21000003814697,30.7,2.033,2.35,43.6660003662109,78.51,15.12,7.5,17.85,1.02083003520966,96.98251,19.14,27.76,1
925,2.23000001907349,30.7,2.01,2.35,43.7910003662109,78.51,15.12,7.5,17.85,0.995800018310547,83.68,19.14,27.76,1
926,2.25,30.7,1.987,2.35,44.0970001220703,78.51,15.12,15.0,17.85,0.98786997795105,95.85031,19.14,27.76,1
927,2.23000001907349,30.7,1.964,2.35,44.3899993896484,78.51,15.12,15.0,17.85,0.994170010089874,83.68,19.14,27.76,1
928,1.74,30.7,1.942,2.35,42.0550003051758,78.51,15.12,15.0,17.85,0.96,83.68,19.14,27.76,1
929,1.74,30.7,3.12,2.35,42.3610000610352,78.51,15.12,15.0,17.85,0.96,83.68,19.14,27.76,1
960,1.74,30.7,4.495,2.35,26.636999130249,78.51,15.12,17.46,17.85,0.84442001581192,68.95354,19.14,27.76,0
961,0.200000002980232,30.7,4.315,2.35,26.7000007629395,25.8389797210693,58.3,17.46,17.85,0.96,83.68,19.14,27.76,5
962,0.189999997615814,30.7,4.146,2.35,26.8080005645752,78.51,15.12,17.46,17.85,0.96,83.68,19.14,27.76,0
963,0.180000007152557,30.7,3.99,2.35,26.9570007324219,78.51,15.12,17.46,17.85,0.96,83.68,19.14,27.76,0
964,0.170000001788139,30.7,3.846,2.35,27.1389999389648,78.51,15.12,17.46,17.85,0.96,83.68,33.0,73.3,0
965,0.170000001788139,30.7,3.713,2.35,27.3490009307861,78.51,52.6,17.46,17.85,0.96,83.68,19.14,27.76,5
966,0.170000001788139,30.7,3.591,2.35,27.5200004577637,78.51,15.12,17.46,17.85,0.96,83.68,19.14,27.76,0
967,0.159999996423721,30.7,3.478,2.35,27.7210006713867,78.51,15.12,9.09090909090909,17.85,0.96,83.68,35.6,68.5,0
968,0.150000005960464,30.7,3.371,2.35,27.9370002746582,78.51,15.12,9.09090909090909,17.85,0.96,83.68,19.14,27.76,0
969,0.159999996423721,30.7,3.269,2.35,28.1499996185303,78.51,15.12,9.09090909090909,17.85,0.96,83.68,19.14,27.76,0
970,0.150000005960464,30.7,3.169,2.35,28.3449993133545,78.51,51.1,9.09090909090909,17.85,0.96,83.68,34.7,65.3,5
971,0.140000000596046,30.7,3.07,2.35,28.4659996032715,40.8233489990234,15.12,17.46,17.85,0.96,83.68,19.14,27.76,0
972,0.129999995231628,30.7,2.973,2.35,28.5820007324219,78.51,15.12,2.0,17.85,0.96,83.68,19.14,27.76,0
973,0.129999995231628,30.7,2.876,2.35,28.6889991760254,78.51,15.12,2.0,17.85,0.96,83.68,19.14,27.76,0
974,0.119999997317791,30.7,2.782,2.35,28.7849998474121,78.51,15.12,2.0,17.85,0.96,83.68,32.7,68.7,0
975,0.109999999403954,30.7,2.691,2.35,28.8759994506836,78.51,46.6,14.7826086956522,17.85,1.04550004005432,83.68,19.14,27.76,0
976,0.109999999403954,10.8999996185303,2.604,2.35,28.8799991607666,78.51,15.12,15.0724637681159,17.85,1.05589997768402,83.68,19.14,64.1,0
977,0.129999995231628,30.7,2.523,2.35,29.2719993591309,43.7408485412598,15.12,17.46,17.85,1.07234001159668,83.68,32.7,66.2,0
978,0.140000000596046,30.7,2.449,2.35,29.6709995269775,78.51,15.12,6.33333333333333,17.85,1.06190001964569,93.66587,19.14,27.76,0
979,0.150000005960464,30.7,2.382,2.35,30.07200050354,78.51,15.12,18.5507246376812,17.85,1.04786002635956,83.68,19.14,27.76,0
980,0.170000001788139,10.039999961853,2.324,2.35,30.4740009307861,78.51,43.0,18.5507246376812,17.85,1.06251001358032,83.68,19.14,27.76,0
981,0.200000002980232,30.7,2.273,2.35,30.8729991912842,55.1194381713867,15.12,19.7142857142857,17.85,0.96,83.68,30.2,64.9,0
982,0.230000004172325,30.7,2.228,2.35,31.2730007171631,54.2360382080078,15.12,19.7142857142857,17.85,0.96,83.68,19.14,27.76,0
983,0.259999990463257,30.7,2.188,2.35,31.6770000457764,57.7890014648438,15.12,19.7142857142857,17.85,0.96,83.68,19.14,52.3,0
984,0.300000011920929,30.7,2.152,2.35,32.0859985351563,57.8609313964844,15.12,19.8275862068966,17.85,0.96,83.68,30.8,58.6,0
985,0.330000013113022,30.7,2.12,2.35,32.5029983520508,62.2529907226563,15.12,20.0,17.85,0.96,83.68,19.14,27.76,0
986,0.370000004768372,30.7,2.09,2.35,32.9309997558594,69.8972091674805,38.8,20.0,17.85,0.96,83.68,19.14,27.76,0
987,0.629999995231628,11.4799995422363,2.062,2.35,36.109001159668,70.0857009887695,15.12,20.2857142857143,17.85,1.07176005840302,83.68,19.14,27.76,0
